aX,aY,aZ,Gx,Gy,Gz
-0.11,-0.507,-0.301,5.676,-3.906,13.855
-0.349,-0.234,-0.187,11.292,-6.653,2.014
-0.402,-0.029,0.062,11.78,-7.813,-0.061
-0.234,0.139,0.11,8.301,-7.874,-6.714
-0.392,0.139,0.397,4.395,-7.08,3.235
-0.388,0.024,0.713,1.77,-6.897,5.676
-0.373,-0.297,0.325,-0.244,-8.057,-7.69
-0.014,-0.038,0.301,-2.869,-6.958,-8.179
-0.129,-0.043,-0.11,-6.775,-4.761,1.282
0.072,-0.191,-0.268,-8.301,-2.625,2.808
0.766,-0.211,-0.498,-7.446,0.0,-5.432
0.742,-0.88,-0.646,-0.916,4.089,11.719
0.421,-0.775,-0.89,5.371,5.859,29.419
-0.172,-0.823,-0.804,10.254,5.798,30.518
-0.665,-0.794,-0.479,13.184,3.357,32.532
-0.584,0.0,-0.163,10.254,1.953,20.02
-0.785,-0.072,-0.072,4.761,2.014,21.912
-1.192,0.488,0.091,1.343,0.183,29.48
-0.665,1.101,-0.005,-5.066,-2.258,7.446
-0.325,1.436,0.335,-6.531,-2.441,6.653
0.325,1.431,0.574,-4.211,-2.441,4.517
1.646,1.503,0.517,-0.793,1.038,-17.029
1.756,0.89,0.287,6.775,5.92,-0.305
1.445,0.679,0.531,15.93,9.033,16.541
0.967,0.751,0.517,17.639,13.916,8.789
2.78,0.656,-0.636,12.268,20.691,-1.709
1.302,-0.067,-0.067,18.86,34.302,56.519
-0.397,0.77,-0.033,26.001,31.921,83.069
0.254,1.201,1.861,33.752,23.865,2.808
2.321,0.057,0.091,44.25,28.992,-76.355
0.148,0.091,-0.029,54.626,36.011,-31.372
-1.66,2.048,1.493,60.486,43.579,66.406
1.158,6.283,-1.474,29.358,55.664,49.805
0.847,-3.067,4.072,20.081,80.75,-6.226
-0.301,6.766,1.244,-6.714,98.633,-14.099
-0.301,0.603,2.125,-21.179,107.971,21.729
-1.699,-0.201,2.268,-31.189,106.201,44.617
-1.833,-2.153,1.125,-32.471,91.431,14.832
-4.388,-3.694,-0.196,-14.832,62.805,5.371
-6.13,-4.211,-0.574,16.663,14.282,27.527
-5.589,-3.311,-0.263,37.17,-27.954,4.15
-5.57,-1.948,0.311,49.683,-61.89,-8.789
-3.594,-2.747,0.651,42.419,-75.378,-85.022
0.349,-1.412,-1.57,26.611,-52.612,-149.719
1.053,0.335,0.474,9.583,-33.386,-132.385
-3.685,0.139,5.402,-12.939,-22.4,-84.839
-4.933,2.689,3.383,-44.983,-24.292,1.892
-5.355,3.326,2.555,-78.552,-26.855,33.081
-1.976,0.177,-0.598,-101.135,-35.278,-55.786
2.761,-1.172,1.273,-99.121,-33.936,-130.432
2.594,-0.536,-0.723,-70.068,-28.748,-49.805
